genome_acc,annotation,genomePath,taxon
GCF_001858045.2,data/annotations/GCF_001858045.2_O_niloticus_UMD_NMBU_genomic.gtf.gz,data/genomes/Oreochromis_niloticus.fasta.gz,Actinopteri
GCF_023375975.1,data/annotations/GCF_023375975.1_AstMex3_surface_genomic.gtf.gz,data/genomes/Astyanax_mexicanus.fasta.gz,Actinopteri
GCF_929443795.1,data/annotations/GCF_929443795.1_bAccGen1.1_genomic.gtf.gz,data/genomes/Astur_gentilis.fasta.gz,Aves
GCF_900880675.1,data/annotations/GCF_900880675.1_fSpaAur1.1_genomic.gtf.gz,data/genomes/Sparus_aurata.fasta.gz,Actinopteri
GCF_963506605.1,data/annotations/GCF_963506605.1_rZooViv1.1_genomic.gtf.gz,data/genomes/Zootoca_vivipara.fasta.gz,Lepidosauria
GCF_002234675.1,data/annotations/GCF_002234675.1_ASM223467v1_genomic.gtf.gz,data/genomes/Oryzias_latipes.fasta.gz,Actinopteri
GCF_028885655.2,data/annotations/GCF_028885655.2_NHGRI_mPonAbe1-v2.0_pri_genomic.gtf.gz,data/genomes/Pongo_abelii.fasta.gz,Mammalia
GCA_040182925.1,data/annotations/GCA_040182925.1_ASM4018292v1_genomic.gtf.gz,data/genomes/Culter_alburnus.fasta.gz,Actinopteri
GCF_964195595.1,data/annotations/GCF_964195595.1_bCalBor7.hap1.2_genomic.gtf.gz,data/genomes/Calonectris_borealis.fasta.gz,Aves
GCA_039797435.1,data/annotations/GCA_039797435.1_Cadamanteus_3dDNAHiC_1.2_genomic.gtf.gz,data/genomes/Crotalus_adamanteus.fasta.gz,Lepidosauria
GCF_034190915.1,data/annotations/GCF_034190915.1_mCavPor4.1_genomic.gtf.gz,data/genomes/Cavia_porcellus.fasta.gz,Mammalia
GCF_049306965.1,data/annotations/GCF_049306965.1_GRCz12tu_genomic.gtf.gz,data/genomes/Danio_rerio.fasta.gz,Actinopteri
GCF_016772045.2,data/annotations/GCF_016772045.2_ARS-UI_Ramb_v3.0_genomic.gtf.gz,data/genomes/Ovis_aries.fasta.gz,Mammalia
GCF_963691925.1,data/annotations/GCF_963691925.1_fScoSco1.1_genomic.gtf.gz,data/genomes/Scomber_scombrus.fasta.gz,Actinopteri
GCF_001952655.1,data/annotations/GCF_001952655.1_M_albus_1.0_genomic.gtf.gz,data/genomes/Monopterus_albus.fasta.gz,Actinopteri
GCF_022379125.1,data/annotations/GCF_022379125.1_ASM2237912v1_genomic.gtf.gz,data/genomes/Scophthalmus_maximus.fasta.gz,Actinopteri
GCF_963082965.1,data/annotations/GCF_963082965.1_fCarCar2.1_genomic.gtf.gz,data/genomes/Carassius_carassius.fasta.gz,Actinopteri
GCF_047675955.1,data/annotations/GCF_047675955.1_mChlSab1.0.hap1_genomic.gtf.gz,data/genomes/Chlorocebus_sabaeus.fasta.gz,Mammalia
