,256,512,1024,2048,4096,9192
DNABERT2,3802,1433,376,90,15,5
NTv2 100m,5941,1845,519,132,26,5
GENA,6637,2206,,,,
ModernGENA,3631,1811,901,446,218,92
NTv2 250m,4107,1649,486,127,26,5
GENA large,4922,1633,,,,
ModernGENA large,2721,1356,673,332,161,67
ModernGENA  (fa2 + autocast bf16),3631,1811,901,446,218,92
ModernGENA  large (fa2 + autocast bf16),2721,1356,673,332,161,67
