file,label,seq_len,mean,std,batch_size
result_m-nucleotide-transformer-v2-250m-multi-species_t-nucleotide-transformer-v2-100m-multi-species_seq512_bs1649_gpu5_runs10_bpr5_autob1.csv,NTv2 250m,512,30.61890582999745,0.0021688005489526,1649
result_m-nucleotide-transformer-v2-250m-multi-species_t-nucleotide-transformer-v2-100m-multi-species_seq9192_bs5_gpu5_runs10_bpr5_autob1.csv,NTv2 250m,9192,7.346100132797932,0.0014411728756962,5
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq1024_bs901_gpu6_runs10_bpr5_autob1.csv,ModernGENA,1024,77.20266072332277,0.0060284012861799,901
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq2048_bs446_gpu6_runs10_bpr5_autob1.csv,ModernGENA,2048,76.38238298237702,0.0058112772800108,446
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq256_bs3631_gpu6_runs10_bpr5_autob1.csv,ModernGENA,256,78.11954173978434,0.1480343993345501,3631
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq4096_bs218_gpu6_runs10_bpr5_autob1.csv,ModernGENA,4096,74.82860012205126,0.0073670576574107,218
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq512_bs1811_gpu6_runs10_bpr5_autob1.csv,ModernGENA,512,77.72631965126752,0.0071973081445923,1811
result_noflash_m-moderngena_base_t-gena-lm-bert-base-t2t_seq9192_bs92_gpu6_runs10_bpr5_autob1.csv,ModernGENA,9192,71.1499095956292,0.0484508938249429,92
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq1024_bs673_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,1024,26.00958756247333,0.0008903268449677,673
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq2048_bs332_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,2048,25.85385109305601,0.000867910376497,332
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq256_bs2721_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,256,26.19913493371488,0.0213301460126634,2721
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq4096_bs161_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,4096,25.56421643175413,0.0023703245220244,161
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq512_bs1356_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,512,26.11071109080487,0.0019807384657085,1356
result_noflash_m-moderngena_large_t-gena-lm-bert-base-t2t_seq9192_bs67_gpu5_runs10_bpr5_autob1.csv,ModernGENA large,9192,24.86365685633865,0.0028049375358954,67
