,256,512,1024,2048,4096,9192
DNABERT2,"68,57","62,63","53,42","40,68","27,57","15,48"
NTv2 100m,"70,88","60,28","46,46","31,72","19,02","9,37"
GENA,"91,78","81,98",,,,
ModernGENA,"78,12","77,73","77,20","76,38","74,83","71,15"
NTv2 250m,"33,47","30,62","26,07","20,05","13,49","7,35"
GENA large,"27,13","24,79",,,,
ModernGENA large,"26,20","26,11","26,01","25,85","25,56","24,86"
ModernGENA  (fa2 + autocast bf16),"552,44","529,18","507,61","479,04","425,88","332,54"
ModernGENA  large (fa2 + autocast bf16),"223,77","218,23","212,24","202,51","185,82","153,77"
