ID,gene_name
ENSG00000284703.2,ENSG00000284703
ENSG00000296871.1,ENSG00000296871
ENSG00000308587.1,ENSG00000308587
ENSG00000229280.1,EEF1DP6
ENSG00000301255.1,ENSG00000301255
ENSG00000299169.1,ENSG00000299169
ENSG00000302287.1,ENSG00000302287
ENSG00000235054.5,LINC01777
ENSG00000306535.1,ENSG00000306535
ENSG00000284694.1,ENSG00000284694
ENSG00000299517.1,ENSG00000299517
ENSG00000227169.2,ENSG00000227169
ENSG00000295490.1,ENSG00000295490
ENSG00000232596.3,LINC01646
ENSG00000300565.1,ENSG00000300565
ENSG00000303830.1,ENSG00000303830
ENSG00000196581.11,AJAP1
ENSG00000287586.1,ENSG00000287586
ENSG00000284739.2,ENSG00000284739
ENSG00000284674.1,LINC02781
ENSG00000309102.1,ENSG00000309102
ENSG00000309111.1,ENSG00000309111
ENSG00000231510.1,LINC02782
ENSG00000296716.1,ENSG00000296716
ENSG00000302269.1,ENSG00000302269
ENSG00000306645.1,ENSG00000306645
ENSG00000284616.1,ENSG00000284616
ENSG00000302445.1,ENSG00000302445
ENSG00000302452.1,ENSG00000302452
ENSG00000295735.1,ENSG00000295735
ENSG00000284692.3,ENSG00000284692
ENSG00000284666.1,ENSG00000284666
ENSG00000260972.1,ENSG00000260972
ENSG00000299325.1,ENSG00000299325
ENSG00000283356.1,ENSG00000283356
ENSG00000289893.2,ENSG00000289893
ENSG00000264341.1,ENSG00000264341
ENSG00000295108.1,ENSG00000295108
ENSG00000295122.1,ENSG00000295122
ENSG00000298180.1,ENSG00000298180
ENSG00000264101.1,MIR4689
ENSG00000131697.18,NPHP4
ENSG00000299539.1,ENSG00000299539
ENSG00000069424.16,KCNAB2
ENSG00000116254.18,CHD5
ENSG00000285629.1,ENSG00000285629
ENSG00000116251.11,RPL22
ENSG00000226944.2,RNF207-AS1
ENSG00000158286.13,RNF207
ENSG00000116237.16,ICMT
ENSG00000225077.4,ICMT-DT
ENSG00000173673.9,HES3
ENSG00000158292.7,GPR153
ENSG00000097021.21,ACOT7
ENSG00000271746.1,ENSG00000271746
ENSG00000069812.11,HES2
ENSG00000187017.18,ESPN
ENSG00000265392.1,MIR4252
ENSG00000231868.1,ENSG00000231868
ENSG00000215788.11,TNFRSF25
ENSG00000171680.23,PLEKHG5
ENSG00000297749.1,ENSG00000297749
ENSG00000299237.1,ENSG00000299237
ENSG00000299253.1,ENSG00000299253
ENSG00000162408.11,NOL9
ENSG00000253022.1,RNU6-731P
ENSG00000229519.2,ENSG00000229519
ENSG00000173662.21,TAS1R1
ENSG00000204859.13,ZBTB48
ENSG00000162413.17,KLHL21
ENSG00000295286.1,ENSG00000295286
ENSG00000304810.1,ENSG00000304810
ENSG00000116273.6,PHF13
ENSG00000041988.16,THAP3
ENSG00000007923.17,DNAJC11
ENSG00000228750.8,LINC01672
ENSG00000284744.1,ENSG00000284744
ENSG00000237436.2,CAMTA1-DT
ENSG00000171735.21,CAMTA1
ENSG00000227950.1,ENSG00000227950
ENSG00000237365.1,CAMTA1-AS3
ENSG00000207056.1,RNU1-8P
ENSG00000310450.1,ENSG00000310450
ENSG00000237402.2,CAMTA1-IT1
ENSG00000237728.3,CAMTA1-AS2
ENSG00000294314.1,ENSG00000294314
ENSG00000225126.2,CAMTA1-AS1
ENSG00000298973.1,ENSG00000298973
ENSG00000306883.1,ENSG00000306883
ENSG00000302704.1,ENSG00000302704
ENSG00000270171.1,ENSG00000270171
ENSG00000270035.1,ENSG00000270035
ENSG00000269978.2,ENSG00000269978
ENSG00000300603.1,ENSG00000300603
ENSG00000049245.13,VAMP3
ENSG00000269925.1,ENSG00000269925
ENSG00000049246.15,PER3
ENSG00000236266.2,ENSG00000236266
ENSG00000049247.14,UTS2
ENSG00000302605.1,ENSG00000302605
ENSG00000049249.10,TNFRSF9
ENSG00000270330.1,ENSG00000270330
ENSG00000116288.13,PARK7
ENSG00000299004.1,ENSG00000299004
ENSG00000200344.1,Y_RNA
ENSG00000284747.1,ENSG00000284747
ENSG00000284716.1,ENSG00000284716
ENSG00000116285.13,ERRFI1
ENSG00000238290.2,ERRFI1-DT
ENSG00000232848.1,RPL7AP18
ENSG00000301325.1,ENSG00000301325
ENSG00000227634.4,LINC01714
ENSG00000229305.1,ENSG00000229305
ENSG00000301344.1,ENSG00000301344
ENSG00000200975.1,RNU1-7P
ENSG00000233645.1,ENSG00000233645
ENSG00000298156.1,ENSG00000298156
ENSG00000301025.1,ENSG00000301025
ENSG00000301006.1,ENSG00000301006
ENSG00000251977.1,RNU6-991P
ENSG00000162426.16,SLC45A1
ENSG00000252254.1,Y_RNA
ENSG00000142599.20,RERE
ENSG00000232912.6,RERE-AS1
ENSG00000221083.1,ENSG00000221083
ENSG00000270282.1,ENSG00000270282
ENSG00000234619.1,RPL7P11
ENSG00000224315.2,RPL7P7
ENSG00000303676.1,ENSG00000303676
ENSG00000222511.2,Y_RNA
ENSG00000226545.1,ENSG00000226545
ENSG00000228423.2,ENSG00000228423
ENSG00000229716.2,RPL23AP19
ENSG00000074800.16,ENO1
ENSG00000274258.1,MIR6728
ENSG00000230679.2,ENO1-AS1
ENSG00000201725.1,RNU6-304P
ENSG00000238249.2,HMGN2P17
ENSG00000310107.1,ENSG00000310107
ENSG00000232208.2,ENSG00000232208
ENSG00000232663.2,ENSG00000232663
ENSG00000310124.1,ENSG00000310124
ENSG00000131686.15,CA6
ENSG00000290109.2,ENSG00000290109
ENSG00000265141.2,RN7SL451P
ENSG00000197241.4,SLC2A7
ENSG00000142583.18,SLC2A5
ENSG00000252404.1,ENSG00000252404
ENSG00000180758.12,GPR157
ENSG00000228526.9,MIR34AHG
ENSG00000284357.1,MIR34A
ENSG00000289914.2,ENSG00000289914
ENSG00000302015.1,ENSG00000302015
ENSG00000234546.6,LNCTAM34A
ENSG00000301983.1,ENSG00000301983
ENSG00000301968.1,ENSG00000301968
ENSG00000049239.13,H6PD
ENSG00000302217.1,ENSG00000302217
ENSG00000171621.14,SPSB1
ENSG00000294252.1,ENSG00000294252
ENSG00000296073.1,ENSG00000296073
ENSG00000296056.1,ENSG00000296056
ENSG00000307568.1,ENSG00000307568
ENSG00000284652.1,ENSG00000284652
ENSG00000284693.3,LINC02606
ENSG00000252956.1,RNA5SP40
ENSG00000301013.1,ENSG00000301013
ENSG00000301030.1,ENSG00000301030
ENSG00000306844.1,ENSG00000306844
ENSG00000296249.1,ENSG00000296249
ENSG00000235263.2,ENSG00000235263
ENSG00000171612.7,SLC25A33
ENSG00000231181.1,ENSG00000231181
ENSG00000188807.13,TMEM201
ENSG00000307011.1,ENSG00000307011
ENSG00000171608.18,PIK3CD
ENSG00000179840.5,PIK3CD-AS1
ENSG00000233268.3,ENSG00000233268
ENSG00000301080.1,ENSG00000301080
ENSG00000231789.5,PIK3CD-AS2
ENSG00000171603.18,CLSTN1
ENSG00000271264.1,MZT1P1
ENSG00000280113.2,ENSG00000280113
ENSG00000178585.15,CTNNBIP1
ENSG00000223989.1,ENSG00000223989
ENSG00000285701.2,ENSG00000285701
ENSG00000228150.2,ENSG00000228150
ENSG00000162441.12,LZIC
ENSG00000173614.14,NMNAT1
ENSG00000202415.1,RN7SKP269
ENSG00000283611.2,TMEM274P
ENSG00000265521.1,MIR5697
ENSG00000241326.1,ENSG00000241326
ENSG00000162444.12,RBP7
ENSG00000130939.20,UBE4B
ENSG00000224340.1,RPL21P21
ENSG00000233623.2,PGAM1P11
ENSG00000201746.1,RNU6-828P
ENSG00000054523.20,KIF1B
ENSG00000264881.1,ENSG00000264881
ENSG00000199562.1,RNU6-37P
ENSG00000264501.2,RN7SL731P
ENSG00000284735.1,ENSG00000284735
ENSG00000284642.1,ENSG00000284642
ENSG00000142657.21,PGD
ENSG00000271989.1,ENSG00000271989
ENSG00000251503.8,CENPS-CORT
ENSG00000175279.22,CENPS
ENSG00000241563.4,CORT
ENSG00000160049.12,DFFA
ENSG00000203469.2,ENSG00000203469
ENSG00000142655.13,PEX14
ENSG00000307253.1,ENSG00000307253
ENSG00000287727.1,ENSG00000287727
ENSG00000243267.3,RN7SL614P
ENSG00000130940.15,CASZ1
ENSG00000272078.1,ENSG00000272078
ENSG00000298629.1,ENSG00000298629
ENSG00000308013.1,ENSG00000308013
ENSG00000307983.1,ENSG00000307983
ENSG00000307999.1,ENSG00000307999
ENSG00000225158.2,HSPE1P24
ENSG00000308257.1,ENSG00000308257
ENSG00000175262.15,C1orf127
ENSG00000215785.2,CFL1P6
ENSG00000120948.19,TARDBP
ENSG00000009724.18,MASP2
ENSG00000116649.10,SRM
ENSG00000230337.5,EXOSC10-AS1
ENSG00000171824.14,EXOSC10
ENSG00000198793.14,MTOR
ENSG00000225602.5,MTOR-AS1
ENSG00000253086.1,RNU6-537P
ENSG00000171819.5,ANGPTL7
ENSG00000207451.1,RNU6-291P
ENSG00000238173.1,RPL39P6
ENSG00000309051.1,ENSG00000309051
ENSG00000120942.14,UBIAD1
ENSG00000238199.1,UBE2V2P3
ENSG00000284646.2,ENSG00000284646
ENSG00000302153.1,ENSG00000302153
ENSG00000302176.1,ENSG00000302176
ENSG00000224338.2,MTCYBP45
ENSG00000299102.1,ENSG00000299102
ENSG00000204624.8,DISP3
ENSG00000285833.1,ENSG00000285833
ENSG00000303300.1,ENSG00000303300
ENSG00000235643.2,LINC01647
ENSG00000284708.1,ENSG00000284708
ENSG00000116661.11,FBXO2
ENSG00000132879.14,FBXO44
ENSG00000116670.17,MAD2L2
ENSG00000116663.11,FBXO6
ENSG00000162490.7,DRAXIN
ENSG00000301523.1,ENSG00000301523
ENSG00000305789.1,ENSG00000305789
ENSG00000177674.16,AGTRAP
ENSG00000215910.8,C1orf167
ENSG00000177553.6,C1orf167-AS1
ENSG00000177000.13,MTHFR
ENSG00000011021.23,CLCN6
ENSG00000276470.1,ENSG00000276470
ENSG00000278852.1,ENSG00000278852
ENSG00000175206.11,NPPA
ENSG00000275915.1,ENSG00000275915
ENSG00000120937.9,NPPB
ENSG00000224904.1,SBF1P2
ENSG00000285646.3,ENSG00000285646
ENSG00000199347.2,RNU5E-1
ENSG00000201801.1,RNU5E-4P
ENSG00000116685.17,KIAA2013
ENSG00000083444.17,PLOD1
ENSG00000287384.1,ENSG00000287384
ENSG00000116688.18,MFN2
ENSG00000270914.1,ENSG00000270914
ENSG00000116691.11,MIIP
ENSG00000202461.1,Y_RNA
ENSG00000276869.1,MIR6729
ENSG00000243539.3,RN7SL649P
ENSG00000120949.15,TNFRSF8
ENSG00000201135.1,RNU6-777P
ENSG00000227875.2,RPL23AP89
ENSG00000285604.1,ENSG00000285604
ENSG00000294285.1,ENSG00000294285
ENSG00000301863.1,ENSG00000301863
ENSG00000283789.1,MIR7846
ENSG00000028137.19,TNFRSF1B
ENSG00000296888.1,ENSG00000296888
ENSG00000263676.1,MIR4632
ENSG00000297053.1,ENSG00000297053
ENSG00000225196.2,RPL10P17
ENSG00000252969.1,SNORA70
ENSG00000048707.15,VPS13D
ENSG00000295309.1,ENSG00000295309
ENSG00000239149.1,SNORA59A
ENSG00000229484.4,LINC02766
ENSG00000309694.1,ENSG00000309694
ENSG00000162496.10,DHRS3
ENSG00000221340.1,RNU6ATAC18P
ENSG00000276830.1,MIR6730
ENSG00000305650.1,ENSG00000305650
ENSG00000288927.3,ENSG00000288927
ENSG00000204518.3,AADACL4
ENSG00000226166.2,ENSG00000226166
ENSG00000188984.12,AADACL3
ENSG00000157330.10,CFAP107
ENSG00000116726.5,PRAMEF12
ENSG00000116721.9,PRAMEF1
ENSG00000228338.2,LINC01784
ENSG00000239810.3,PRAMEF11
ENSG00000231103.2,PRAMEF30P
ENSG00000179172.10,HNRNPCL1
ENSG00000120952.4,PRAMEF2
ENSG00000243073.4,PRAMEF4
ENSG00000296105.1,ENSG00000296105
ENSG00000187545.5,PRAMEF10
ENSG00000204510.6,PRAMEF7
ENSG00000207434.1,RNU6-1072P
ENSG00000234064.1,PRAMEF29P
ENSG00000232423.6,PRAMEF6
ENSG00000274178.2,PRAMEF28P
ENSG00000274764.6,PRAMEF27
ENSG00000277058.3,HNRNPCL3
ENSG00000229571.7,PRAMEF25
ENSG00000277862.1,PRAMEF34P
ENSG00000236179.1,PRAMEF35P
ENSG00000275774.3,HNRNPCL2
ENSG00000290772.2,PRAMEF36P
ENSG00000229978.2,PRAMEF36P
ENSG00000297821.1,ENSG00000297821
ENSG00000233336.1,ENSG00000233336
ENSG00000280267.7,PRAMEF26
ENSG00000179412.11,HNRNPCL4
ENSG00000204505.5,PRAMEF9
ENSG00000279169.3,PRAMEF13
ENSG00000279804.3,PRAMEF18
ENSG00000295394.1,ENSG00000295394
ENSG00000250894.1,PRAMEF31P
ENSG00000270601.5,PRAMEF5
ENSG00000231219.1,PRAMEF32P
ENSG00000207511.1,RNU6-771P
ENSG00000182330.11,PRAMEF8
ENSG00000237700.2,PRAMEF33
ENSG00000204501.7,PRAMEF15
ENSG00000228229.2,ENSG00000228229
ENSG00000204481.8,PRAMEF14
ENSG00000204480.9,PRAMEF19
ENSG00000204479.4,PRAMEF17
ENSG00000204478.11,PRAMEF20
ENSG00000307992.1,ENSG00000307992
ENSG00000295011.1,ENSG00000295011
ENSG00000162494.6,LRRC38
ENSG00000301663.1,ENSG00000301663
ENSG00000259961.2,ENSG00000259961
ENSG00000215909.3,BRWD1P1
ENSG00000162493.17,PDPN
ENSG00000222952.1,RNA5SP41
ENSG00000237445.2,ENSG00000237445
ENSG00000295237.1,ENSG00000295237
ENSG00000253085.1,ENSG00000253085
ENSG00000116731.23,PRDM2
ENSG00000289380.1,ENSG00000289380
ENSG00000304226.1,ENSG00000304226
ENSG00000189337.17,KAZN
ENSG00000252151.1,RNU6-1265P
ENSG00000231606.2,ENSG00000231606
ENSG00000234593.4,KAZN-AS1
ENSG00000302124.1,ENSG00000302124
ENSG00000235829.1,TBCAP2
ENSG00000287756.1,ENSG00000287756
ENSG00000294214.1,ENSG00000294214
ENSG00000294586.1,ENSG00000294586
ENSG00000293964.1,ENSG00000293964
ENSG00000175147.13,TMEM51-AS1
ENSG00000310342.1,ENSG00000310342
ENSG00000171729.14,TMEM51
ENSG00000204464.8,TMEM51-AS2
ENSG00000215720.4,MFFP1
ENSG00000278480.1,ZBTB2P1
ENSG00000142621.21,FHAD1
ENSG00000228140.3,EFHD2-AS1
ENSG00000233485.2,FHAD1-AS1
ENSG00000236045.1,ENSG00000236045
ENSG00000142634.13,EFHD2
ENSG00000162438.12,CTRC
ENSG00000142615.8,CELA2A
ENSG00000215704.10,CELA2B
ENSG00000132906.18,CASP9
ENSG00000116138.13,DNAJC16
ENSG00000251866.1,SCARNA21B
ENSG00000272510.1,ENSG00000272510
ENSG00000116771.6,AGMAT
ENSG00000237301.2,ENSG00000237301
ENSG00000235084.3,CHCHD2P6
ENSG00000252417.1,RNU7-179P
ENSG00000294489.1,ENSG00000294489
ENSG00000236500.1,CD24P1
ENSG00000197312.13,DDI2
ENSG00000215695.2,RSC1A1
ENSG00000116786.15,PLEKHM2
ENSG00000271742.1,ENSG00000271742
ENSG00000237938.5,ENSG00000237938
ENSG00000162461.8,SLC25A34
ENSG00000224459.3,SLC25A34-AS1
ENSG00000162460.7,TMEM82
ENSG00000297277.1,ENSG00000297277
ENSG00000162458.13,FBLIM1
ENSG00000179743.5,SPEN-AS1
ENSG00000224321.1,RPL12P14
ENSG00000233954.7,UQCRHL
ENSG00000178715.8,ENSG00000178715
ENSG00000065526.13,SPEN
ENSG00000270620.1,ENSG00000270620
ENSG00000116809.12,ZBTB17
ENSG00000234607.2,ENSG00000234607
ENSG00000231353.1,ENSG00000231353
ENSG00000275503.1,ENSG00000275503
ENSG00000224966.4,TBC1D3P6
ENSG00000183888.4,SRARP
ENSG00000233078.1,ENSG00000233078
ENSG00000173641.18,HSPB7
ENSG00000186510.12,CLCNKA
ENSG00000307216.1,ENSG00000307216
ENSG00000232456.1,FAM131C2P
ENSG00000184908.20,CLCNKB
ENSG00000185519.9,FAM131C
ENSG00000142627.13,EPHA2
ENSG00000227959.3,EPHA2-AS1
ENSG00000297531.1,ENSG00000297531
ENSG00000142632.17,ARHGEF19
ENSG00000291077.2,ENSG00000291077
ENSG00000237276.10,ANO7L1
ENSG00000288398.1,ENSG00000288398
ENSG00000132881.12,CPLANE2
ENSG00000293791.1,ENSG00000293791
ENSG00000233929.1,MT1XP1
ENSG00000037637.11,FBXO42
ENSG00000055070.17,SZRD1
ENSG00000226457.1,RPL22P3
ENSG00000187144.11,SPATA21
ENSG00000157191.20,NECAP2
ENSG00000290842.2,CROCCP3
ENSG00000226029.1,LINC01772
ENSG00000080947.16,CROCCP3
ENSG00000306228.1,ENSG00000306228
ENSG00000206652.1,RNU1-1
ENSG00000224174.3,ENSG00000224174
ENSG00000233421.6,LINC01783
ENSG00000277344.1,RNU1-6P
ENSG00000298308.1,ENSG00000298308
ENSG00000225710.1,PDE4DIPP8
ENSG00000219481.11,NBPF1
ENSG00000271732.2,ENSG00000271732
ENSG00000291072.2,ENSG00000291072
ENSG00000215908.12,CROCCP2
ENSG00000283773.1,ENSG00000283773
ENSG00000293920.1,ENSG00000293920
ENSG00000293901.1,ENSG00000293901
ENSG00000186301.8,MST1P2
ENSG00000282143.2,ENSG00000282143
ENSG00000207513.1,RNU1-3
ENSG00000280114.1,ENSG00000280114
ENSG00000290849.2,ENSG00000290849
ENSG00000236698.1,EIF1AXP1
ENSG00000296694.1,ENSG00000296694
ENSG00000268869.9,ESPNP
ENSG00000279151.2,ENSG00000279151
ENSG00000293526.1,ENSG00000293526
ENSG00000282740.2,ENSG00000282740
ENSG00000058453.17,CROCC
ENSG00000290850.2,ENSG00000290850
ENSG00000207389.1,RNU1-4
ENSG00000227684.3,CROCCP4
